housing,loan,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_no job data,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single,education,contact_No contact data,contact_cellular,contact_telephone,month,age,balance,day_of_week,duration,campaign,pdays,previous
0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,False,True,False,8,37,2505,7,420,3,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,7,40,665,9,781,1,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2,True,False,False,5,33,-147,30,652,2,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,False,True,False,8,35,434,13,1314,2,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,True,False,False,6,34,2040,17,509,4,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,8,33,0,21,102,2,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,8,52,924,21,93,4,-1,0
0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2,False,True,False,7,28,196,2,423,3,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,7,32,820,17,738,3,-1,0
1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,False,True,False,5,39,800,8,241,2,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,3,False,True,False,6,39,48,3,539,1,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,4,36,442,17,238,1,326,3
0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,False,False,True,8,54,3601,18,238,3,-1,0
0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,2,57,169,3,369,1,-1,0
1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,True,False,False,6,30,543,4,1449,6,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,5,36,111,6,174,3,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,6,33,3143,29,421,2,-1,0
1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3,False,True,False,5,34,366,8,348,4,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,False,True,False,2,58,5701,2,521,1,-1,0
0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,False,False,True,4,78,8556,21,137,2,-1,0
1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2,False,True,False,4,73,7111,12,284,1,182,1
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,False,True,False,11,38,3576,25,349,2,183,1
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,8,49,1730,4,605,2,92,4
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,8,58,2297,13,96,2,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,True,False,False,5,36,3875,27,21,5,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,False,True,False,2,58,5701,2,521,1,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,6,37,1315,30,224,1,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,False,True,False,8,38,6728,21,252,4,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,8,31,0,19,133,2,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,10,29,2806,15,294,1,93,5
0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,False,False,True,8,77,680,25,103,3,-1,0
1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,7,49,246,18,49,5,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,5,33,1221,7,127,6,-1,0
1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,False,True,False,11,53,337,18,80,2,-1,0
0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0,False,True,False,2,62,800,17,737,1,-1,0
1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,False,True,False,7,34,29,15,387,5,-1,0
1,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,False,True,False,2,54,427,4,85,2,231,2
1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,False,True,False,4,38,1970,30,701,1,176,1
0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,False,True,False,8,31,94,22,579,2,-1,0
0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,6,41,707,18,707,1,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,10,43,14646,23,210,1,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,False,True,False,11,56,870,16,257,1,-1,0
1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,False,True,False,10,65,571,20,349,1,183,2
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,False,True,False,7,34,-109,15,860,4,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,False,True,False,8,59,283,25,272,4,-1,0
0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,True,False,False,6,40,1248,11,1290,2,-1,0
1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,5,58,119,12,985,1,-1,0
1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,False,True,False,2,25,760,27,58,2,-1,0
1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,False,True,False,7,30,10,18,658,2,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,True,5,51,707,13,97,5,-1,0
0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,False,True,False,4,29,246,23,90,14,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,False,True,False,4,44,294,16,165,3,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,False,True,False,5,55,1504,22,338,2,-1,0
0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,False,True,False,1,66,203,18,353,1,195,1
0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2,False,True,False,8,45,705,20,132,4,-1,0
1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,6,45,204,3,224,2,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,2,False,True,False,7,35,145,17,354,1,-1,0
0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,4,41,0,14,168,1,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,7,35,-17,20,7,1,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,9,57,10583,28,341,3,98,3
0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,8,57,2120,19,687,4,-1,0
1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,True,False,False,5,43,3196,19,159,3,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,False,True,False,4,39,224,5,208,1,-1,0
1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2,True,False,False,6,36,1245,6,1469,9,-1,0
1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,7,36,1988,25,102,2,-1,0
1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,False,True,False,3,49,523,3,152,2,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,6,36,13,3,284,1,-1,0
1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,False,True,False,7,35,513,18,377,1,-1,0
0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1,False,False,True,7,78,2787,1,372,1,-1,0
1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,True,False,False,5,45,9077,15,139,1,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,False,True,False,4,31,1081,24,202,5,261,2
0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2,False,True,False,8,22,2138,10,164,1,109,2
1,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2,True,False,False,6,48,720,17,277,2,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,8,53,15,20,921,2,-1,0
1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,False,True,5,59,145,12,556,2,287,13
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,3,False,True,False,4,46,283,7,299,1,-1,0
1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,12,61,0,7,85,2,-1,0
0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,False,True,False,3,45,1527,8,132,1,-1,0
1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,2,41,546,4,418,2,-1,0
0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2,False,False,True,7,58,-158,18,11,3,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,8,35,467,14,82,2,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,False,True,False,8,35,0,25,124,4,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,True,False,False,6,60,3301,17,2621,3,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,False,True,False,11,44,14,13,167,1,92,1
0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,4,29,760,17,82,2,-1,0
0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,True,False,False,6,35,1833,19,138,1,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,False,True,False,8,35,1006,22,69,4,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,5,25,1317,26,176,1,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,8,46,4,8,1206,4,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,False,True,False,8,36,154,26,556,7,-1,0
0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,False,True,False,11,52,5423,17,93,1,115,1
1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,6,34,2374,18,270,2,314,2
0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3,False,True,False,9,74,1843,15,251,2,184,3
0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1,True,False,False,6,60,0,18,138,1,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,6,33,224,23,342,2,107,2
1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,2,29,1027,2,177,1,-1,0
1,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,False,True,False,7,54,5253,7,17,19,-1,0
1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,True,False,False,5,56,-85,26,118,1,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,8,46,326,26,182,7,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,True,False,False,6,45,3007,11,442,1,-1,0
1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,5,43,616,9,168,2,-1,0
1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,7,32,794,9,1014,1,-1,0
1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,3,False,True,False,5,28,22,15,536,2,-1,0
1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,True,False,False,5,37,230,6,374,1,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,True,False,False,5,51,1491,29,206,3,-1,0
0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,False,True,False,7,57,3100,29,165,2,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,False,True,False,7,33,75,21,204,4,-1,0
0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,4,26,5005,3,117,1,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,5,25,1317,26,176,1,-1,0
0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2,False,True,False,6,29,1779,4,400,1,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,11,30,5561,19,511,1,-1,0
0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,3,False,True,False,4,26,193,3,48,2,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,9,32,1644,7,492,3,102,5
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2,True,False,False,6,25,-191,19,958,7,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,8,45,0,5,374,2,472,1
1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,False,True,False,11,46,1167,21,1540,2,-1,0
1,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2,True,False,False,6,33,1897,2,197,1,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,11,40,0,10,147,1,96,8
0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,1,38,-241,29,570,2,-1,0
0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,8,57,2785,11,610,4,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,7,44,6393,22,156,20,-1,0
0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,False,False,True,11,50,237,5,169,1,-1,0
1,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1,True,False,False,5,52,55,6,186,1,-1,0
0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2,False,True,False,7,24,1234,21,314,1,156,2
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,7,34,11,17,654,1,-1,0
1,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,False,True,False,5,40,2679,8,122,1,350,1
0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,False,True,False,4,40,754,6,635,1,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,False,True,8,62,1859,6,245,3,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,False,True,5,43,9,8,142,3,358,3
0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,False,True,False,9,43,2367,22,83,1,113,3
0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2,False,True,False,7,26,141,22,128,1,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,False,True,False,8,35,296,22,91,2,-1,0
0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,5,44,0,14,211,2,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,False,True,False,1,26,205,29,239,1,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,11,37,620,17,93,3,-1,0
0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,True,False,False,3,39,53,5,257,1,394,1
0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,False,True,False,7,54,5475,22,321,4,-1,0
0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1,False,False,True,6,35,745,5,522,3,-1,0
1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,False,True,False,11,47,-813,21,85,2,158,25
1,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,False,True,False,11,46,111,19,178,3,183,2
1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2,True,False,False,5,34,1161,21,192,1,-1,0
1,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,True,False,False,5,33,4369,21,433,3,-1,0
1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1,True,False,False,5,59,121,12,144,7,-1,0
1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,3,False,True,False,7,33,395,23,1359,6,-1,0
0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,False,True,7,38,83,15,32,7,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,7,36,625,18,1360,9,-1,0
1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,True,False,False,5,34,46,19,165,1,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,5,29,9,6,349,1,-1,0
1,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,False,True,False,11,34,44,21,244,2,-1,0
0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,7,46,238,18,85,2,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,2,59,2764,18,459,1,56,3
0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,False,True,False,2,43,36,13,61,1,193,1
0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2,True,False,False,6,38,926,17,705,5,-1,0
1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3,False,True,False,5,32,0,6,767,1,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2,False,True,False,5,34,-285,15,192,1,276,3
0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2,False,True,False,5,26,279,7,239,3,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,True,False,False,6,40,406,6,262,1,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,False,True,4,63,115,27,325,1,180,7
1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,False,True,False,5,41,1646,5,258,1,90,7
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,False,True,False,7,43,0,9,1242,1,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,11,46,-1001,21,45,3,-1,0
1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,True,False,False,5,47,449,13,92,4,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,False,True,False,7,41,431,23,196,1,88,5
0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,7,37,33,8,483,2,-1,0
1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,5,49,512,14,455,3,-1,0
0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,3,False,True,False,7,40,7441,31,1461,6,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,True,False,False,5,24,66,26,109,2,-1,0
1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,4,24,204,17,229,3,-1,0
1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,False,True,False,5,28,375,14,43,1,350,1
0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,False,True,False,6,26,313,2,199,1,96,2
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,True,False,False,6,25,52,24,528,2,-1,0
0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2,False,True,False,2,22,381,12,227,1,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,7,37,15437,10,123,1,-1,0
0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,11,39,3655,20,422,1,-1,0
1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,5,32,506,23,188,6,-1,0
1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,4,42,0,9,331,1,140,4
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,False,True,False,5,58,3399,26,1078,1,97,7
1,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2,True,False,False,6,39,-718,2,90,4,-1,0
0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,4,50,2252,30,652,2,-1,0
1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2,False,True,False,5,22,241,13,200,1,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,False,True,False,8,40,99,11,275,2,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,2,False,True,False,1,27,589,28,24,1,-1,0
1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,5,59,2343,5,1042,1,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,1,29,180,12,350,2,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,False,True,False,8,31,-302,13,195,2,-1,0
0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,True,False,False,6,50,1595,9,882,1,-1,0
0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2,False,True,False,2,26,-168,3,246,1,-1,0
0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,True,False,False,6,37,1699,9,63,1,-1,0
1,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1,True,False,False,5,52,278,7,688,2,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2,True,False,False,5,26,82,9,654,1,-1,0
0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2,False,True,False,8,33,541,20,118,2,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,False,True,False,8,33,3689,27,445,3,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,True,False,False,5,40,3693,30,57,10,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,8,32,0,22,148,2,-1,0
0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,True,False,False,6,45,162,6,166,4,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,False,True,False,9,45,10252,22,173,1,141,2
0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2,False,True,False,5,25,3713,24,323,2,353,3
0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,False,True,False,8,35,179,20,82,2,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,11,32,3442,18,475,1,-1,0
0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,False,True,False,8,53,988,20,1408,5,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,2,27,2849,5,335,1,-1,0
0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2,False,True,False,11,20,215,24,325,1,95,5
1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3,True,False,False,5,31,144,16,676,1,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2,True,False,False,5,30,4648,20,37,1,-1,0
0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2,False,True,False,4,22,107,14,125,1,-1,0
1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1,False,True,False,11,46,3155,21,271,1,-1,0
1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,5,35,1618,7,542,1,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,False,True,False,5,53,210,15,984,1,368,1
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,True,False,6,35,1177,8,243,4,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,False,True,False,7,31,294,17,536,5,-1,0
1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,False,True,False,7,32,283,22,151,2,-1,0
1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,1,33,332,28,706,1,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,False,True,1,55,1470,28,85,2,-1,0
0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,11,29,464,9,208,2,91,3
1,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,3,True,False,False,10,40,568,24,112,1,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,11,37,1093,21,21,6,113,2
